id,title,revenue,runtime,budget,original_title,release_year,release_month,top_cast_count,top_writers_count,top_director_count,top_producers_count,top_production_companies_count,historical_vote_average,historical_vote_count,historical_imdb_votes,historical_imdb_rating,historical_popularity,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,is_english,spoken_has_english,success,budget_log,historical_vote_count_log,iso_outlier
565,The Ring,249348933.0,115.0,48000000.0,The Ring,2002.0,10.0,0,0,0,0,1,6.4625798178281615,967.4199556682764,61930.53193331379,6.476075610560608,4.316608573691823,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,17.6867115897055,6.87566583169615,0
319,True Romance,12600000.0,118.0,12500000.0,True Romance,1993.0,9.0,2,0,0,3,0,6.383811830756199,501.4575452676759,33582.11643873527,6.633664437634277,3.804410954222845,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,16.341239282272525,6.2195111493345,0
13813,Defiance,51155219.0,137.0,32000000.0,Defiance,2008.0,12.0,0,0,0,0,0,6.489867129543852,825.2737378859754,58574.241786749015,6.737610525378333,4.014735056560436,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,17.281246492014,6.716926120418533,0
9093,The Four Feathers,29882645.0,132.0,35000000.0,The Four Feathers,2002.0,9.0,0,0,0,0,2,6.394246023148595,748.9746786019202,49505.52338825261,6.643764364445386,3.931259349906975,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,17.370858648025116,6.620039444096305,0
84334,Searching for Sugar Man,3696196.0,85.0,1000000.0,Searching for Sugar Man,2012.0,6.0,0,0,0,0,0,6.2144754003137965,212.90271081376136,13916.039126883135,6.8075581261970886,2.840685130199045,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,13.815511557963774,5.365521289284171,0
10534,White Squall,10300000.0,129.0,38000000.0,White Squall,1996.0,2.0,0,0,1,0,0,6.375000838476963,693.0979300959673,43316.58885371298,6.689456635503962,3.621262295607518,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17.453096744006448,6.542613060200143,0
36696,Space Dogs,8553835.0,85.0,25000000.0,Белка и Стрелка. Звёздные собаки,2010.0,3.0,0,0,0,0,0,6.40923071886891,2127.878710757456,82570.74398478106,6.638032333546776,5.486019154346787,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.034386422832473,7.663350693217762,0
273899,Stonewall,187674.0,129.0,13500000.0,Stonewall,2015.0,9.0,0,0,0,0,1,6.5328548430587166,721.7911852865668,51992.30235788792,6.840494361799641,3.712692511591497,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,16.41820031748273,6.583120363412066,0
3638,No Reservations,92601050.0,104.0,28000000.0,No Reservations,2007.0,6.0,0,0,0,1,2,6.312404117120457,539.8432806592714,36060.417270079815,6.625687494533799,3.547175999574437,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,17.147715103853763,6.293129552331326,0
853,Enemy at the Gates,96976270.0,131.0,68000000.0,Enemy at the Gates,2001.0,2.0,0,0,0,0,1,6.535715484702704,633.7604312443093,46439.35615697399,6.827031938758047,3.790187598151719,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,18.035018277846262,6.4532476540760815,0
